Summary,Issue key,Issue Type,Status,Project name,Project lead id,Resolution,Created,Updated,Resolved,Log Work
Online Orders with Incorrect Address Shipping Postal Code,FTTHS-8969,Maintenance Task,Doing,FTTH SQUAD,61d8399bbce5e000695c81cd,,2025/03/17 10:10,2025/03/24 11:02,,
Analytics,VMS-1219,Analytics Subtask,Not Applicable,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,,2025/03/04 09:54,2025/03/18 09:52,,;18/Mar/25 9:52 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Low Level Design,VMS-1216,Design Subtask,Not Applicable,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,,2025/03/04 09:54,2025/03/18 09:49,,;18/Mar/25 9:48 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Static Code Analysis,VMS-1215,Development Subtask,Not Applicable,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,,2025/03/04 09:54,2025/03/18 09:51,,;18/Mar/25 9:51 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Analytics,VMS-1204,Analytics Subtask,Done,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,NOT APPLICABLE,2025/02/19 16:25,2025/03/18 09:41,2025/03/18 09:41,;18/Mar/25 9:39 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Low Level Design,VMS-1202,Design Subtask,Done,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,,2025/02/19 16:25,2025/03/18 09:37,,;18/Mar/25 9:27 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Static Code Analysis,VMS-1199,Development Subtask,Not Applicable,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,,2025/02/19 16:25,2025/03/18 09:37,,;18/Mar/25 9:37 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Development Subtask,VMS-1197,Development Subtask,Done,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,Done,2025/02/19 16:25,2025/03/18 09:38,2025/03/18 09:38,;14/Mar/25 3:14 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;144000
VBT6 - Activate Business Journey page,VMS-1196,Story,Done,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,Done,2025/02/19 11:41,2025/03/25 13:12,2025/03/18 11:43,;18/Mar/25 9:43 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;1036800
Create profile service for initiate payment service,CUS-7563,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2025/01/21 14:21,2025/03/11 09:47,2025/03/11 09:47,;21/Jan/25 2:22 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1800
Create payment endpoint,CUS-7555,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2025/01/14 21:06,2025/01/21 14:20,2025/01/21 14:20,;14/Jan/25 9:07 PM;ug:0d815b4c-e9d8-49dc-9cf9-e0bbef56a40a;0
Static Code Analysis,PAPP-6336,Development Subtask,Not Applicable,Project 1App,61d439af567cb70070cfc100,,2025/01/14 11:32,2025/01/17 13:04,,
Development Subtask,PAPP-6136,Development Subtask,Not Applicable,Project 1App,61d439af567cb70070cfc100,,2024/11/18 10:57,2025/01/17 13:04,,
UI Audits,PAPP-6123,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/13 14:46,2024/11/28 09:27,2024/11/28 09:27,;28/Nov/24 9:27 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Process 4 cards.,PAPP-6120,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/12 15:39,2024/11/13 14:38,2024/11/13 14:38,;13/Nov/24 2:38 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Process 6 cards,PAPP-6119,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/12 15:38,2024/11/13 14:45,2024/11/13 14:45,;13/Nov/24 2:45 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;7200
Display cards without view all balances. if cards less than 4,PAPP-6118,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/12 15:37,2024/11/13 14:13,2024/11/12 15:40,;12/Nov/24 3:40 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
If there are four or more cards then show View all balances,PAPP-6117,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/12 15:37,2024/11/13 14:13,2024/11/12 15:39,;12/Nov/24 3:39 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
View all balances accordian,PAPP-6094,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/07 12:07,2024/11/13 14:13,2024/11/12 15:35,;07/Nov/24 12:10 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
Development Subtask,PAPP-5969,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/10/16 14:48,2024/12/04 16:19,2024/12/04 16:19,;04/Dec/24 4:18 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;60
[1App] Homepage Redesign - Balances Page on MVA Container,PAPP-5968,Story,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/10/16 14:46,2024/12/05 12:26,2024/12/04 16:49,;04/Dec/24 4:49 PM;ug:0cb391b5-2c3d-4c11-9cb1-f751a682c2d8;201600
onboarding tagging fixes,PAPP-5947,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/10/11 12:13,2024/10/16 13:50,2024/10/16 13:50,;11/Oct/24 12:26 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1500
T&C's not loading from the V-Up screen,FSV2-13214,Investigation,Done,VodaPay,712020:b6b8932a-0450-4a33-8749-1d95198e2b58,Done,2024/10/02 09:23,2024/10/04 10:57,2024/10/04 10:57,
Summer V-UP Optin Banner,PAPP-5812,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/09/04 10:06,2024/10/07 16:24,2024/10/07 16:24,;07/Oct/24 4:24 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Onboarding and Optin,PAPP-5791,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/08/28 14:32,2024/09/09 10:14,2024/09/09 10:14,;29/Aug/24 10:06 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1500
New shop category icon is not display on VMA,PAPP-5774,Defect,Cancelled,Project 1App,61d439af567cb70070cfc100,Cancelled,2024/08/27 11:32,2024/09/04 16:30,2024/08/27 15:32,
create recharge with Pin pull request,PAPP-5720,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/08/13 13:42,2024/08/28 09:13,2024/08/20 15:38,;20/Aug/24 3:37 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Recharge-with-pin-MR,PAPP-5719,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/08/13 13:22,2024/08/28 09:13,2024/08/20 15:40,;20/Aug/24 3:40 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1500
Update vod-ms-app-prepay-balance CI,PAPP-5675,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/08/07 13:01,2024/08/28 09:13,2024/08/20 15:39,;20/Aug/24 3:39 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;57600
Landing page,PAPP-5489,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/07/16 14:58,2024/08/28 09:13,2024/07/22 23:44,;17/Jul/24 8:11 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1500
Static Code Analysis,PAPP-5483,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/07/16 13:19,2024/09/04 15:08,2024/09/04 15:08,;04/Sep/24 3:08 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;7200
Alerts and Queries,PAPP-5340,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/07/01 16:35,2024/08/23 09:27,2024/07/03 09:51,;01/Jul/24 5:06 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
Update vod-npm-domain-profile package,PAPP-5328,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/06/27 15:07,2024/08/23 09:27,2024/07/01 16:33,;01/Jul/24 4:33 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;7200
Update co-processor policy to call did auth endpoint,PAPP-5145,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/06/10 09:10,2024/08/23 09:27,2024/07/01 16:35,;01/Jul/24 4:35 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;10800
End to End Testing,PAPP-5144,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/06/10 09:09,2024/08/23 09:27,2024/07/01 16:34,;01/Jul/24 4:34 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1800
DiD auth service ,PAPP-5143,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/06/10 09:09,2024/08/23 09:27,2024/06/27 15:06,;27/Jun/24 3:06 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;144000
Entry point,PAPP-5121,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/06/06 14:21,2024/08/28 09:13,2024/07/16 14:58,;16/Jul/24 12:50 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1500
[1App] Recharge with Pin Journey,PAPP-5108,Story,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/06/04 13:50,2024/09/09 12:26,2024/09/05 09:11,;15/Jul/24 3:44 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1500
[1App] Shop Category Icon,PAPP-5044,Maintenance Task,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/27 15:15,2024/09/03 15:16,2024/09/03 11:58,;03/Sep/24 11:58 AM;ug:20932542-b237-4eb6-8bf1-bdc76bf4ff7a;28800
[PWA] Send Free SMS - Fix zoom in issue on Send Free SMS Journey ,PAPP-5007,Maintenance Task,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/23 12:05,2024/05/30 13:03,2024/05/30 12:05,;23/May/24 4:17 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1500
[MVA] Update Address Autocomplete Endpoint,PAPP-4998,Maintenance Task,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/22 13:20,2024/06/06 13:20,2024/06/05 16:29,;24/May/24 11:02 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1500
[VMA] Update Address Autocomplete Endpoint,PAPP-4997,Maintenance Task,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/22 13:19,2024/06/06 13:12,2024/06/05 13:58,;23/May/24 3:28 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;14400
Update format Msisdn directive on subgraph,PAPP-4961,Review Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/16 20:18,2024/08/23 09:27,2024/05/21 14:22,;21/May/24 2:22 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;57600
Create LinkedChildCheck Policy on vod-ms-domain-auth-loader,PAPP-4960,Review Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/16 20:17,2024/08/23 09:27,2024/06/10 09:08,;06/Jun/24 8:50 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1500
move types to schema file,PAPP-4959,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/16 20:09,2024/08/23 09:27,2024/05/16 20:14,;16/May/24 8:14 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
update schema so that it is compatible with apollo federation,PAPP-4958,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/16 20:09,2024/08/23 09:27,2024/05/16 20:14,;16/May/24 8:13 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
Update server to apollo federation,PAPP-4957,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/16 20:09,2024/08/23 09:27,2024/05/16 20:13,;16/May/24 8:12 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
Create script for rover publishing on supergraph,PAPP-4956,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/16 20:08,2024/08/23 09:27,2024/05/16 20:11,;16/May/24 8:11 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Update apollo dependencies,PAPP-4955,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/05/16 20:08,2024/08/23 09:27,2024/05/16 20:10,;16/May/24 8:10 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Fix Defects picked up from QA,PAPP-4781,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/04/29 10:27,2024/05/03 15:29,2024/05/03 15:29,;03/May/24 3:29 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Tagging,PAPP-4722,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/04/22 10:36,2024/04/26 09:00,2024/04/26 09:00,;26/Apr/24 9:00 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;57600
[VMA] Shop Category Icon ,PAPP-4714,Maintenance Task,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/04/22 08:00,2024/09/04 15:07,2024/09/03 11:59,;03/Sep/24 11:59 AM;ug:20932542-b237-4eb6-8bf1-bdc76bf4ff7a;28800
Check Recipient's eligibility to Recieve SMS,PAPP-4697,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/04/19 08:01,2024/04/26 08:59,2024/04/26 08:59,;19/Apr/24 8:02 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Manage contacts screen,PAPP-4696,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/04/19 07:58,2024/04/19 08:00,2024/04/19 08:00,;19/Apr/24 7:58 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;979200
Get Free SMS banner,PAPP-4695,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/04/19 07:56,2024/04/19 07:57,2024/04/19 07:57,;19/Apr/24 7:57 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;57600
Invalid Number Error Screen,PAPP-4639,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/04/11 10:04,2024/04/26 09:01,2024/04/26 09:01,;26/Apr/24 9:01 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Send Free SMS Screen,PAPP-4636,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/04/10 14:13,2024/04/19 07:55,2024/04/19 07:55,;19/Apr/24 7:54 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;144000
Incorrect pricing shown in powerflex journey,DPS-16151,Incident,Done,Discover Squad,70121:76a351b4-b2f2-4ae1-8880-4cd60cc817e0,Done,2024/04/04 12:57,2024/04/05 11:09,2024/04/05 11:09,;05/Apr/24 11:08 AM;ug:1c62e2e6-bddd-4b6b-8b72-8f070908f007;57600
vod-ms-gql-msisdn-manage Lift and Shift,PAPP-4605,Task,Doing,Project 1App,61d439af567cb70070cfc100,,2024/04/04 09:14,2024/08/23 09:27,,;03/Jul/24 9:50 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;18000
[MVA] Add Shop Category Icons ,PAPP-4550,Maintenance Task,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/03/26 14:03,2024/04/03 09:37,2024/04/03 09:28,;03/Apr/24 9:28 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Code review,PAPP-4037,Review Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/02/06 11:26,2024/03/22 08:39,2024/03/07 15:56,;07/Mar/24 3:56 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;86400
My Products Screen UI Enhancement,PAPP-4036,Review Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/02/06 11:25,2024/03/22 08:39,2024/02/16 04:20,;16/Feb/24 4:20 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Create Add number Button,PAPP-4035,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/02/06 11:12,2024/03/22 08:39,2024/02/15 09:26,;15/Feb/24 9:26 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
Create NO GSM deals card,PAPP-4034,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/02/06 11:11,2024/03/22 08:39,2024/02/15 09:05,;06/Feb/24 11:25 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Static Code Analysis,PAPP-3808,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2023/12/07 10:47,2024/05/03 15:29,2024/05/03 15:29,;03/May/24 3:29 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Pull request to QA,PAPP-3805,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2023/12/07 10:47,2024/04/29 10:26,2024/04/29 10:26,;26/Apr/24 9:02 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
BSS-FMW-service,CUS-4772,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/11/30 12:54,2025/01/21 14:24,2025/01/21 14:24,time-tracking;30/Nov/23 4:58 PM;addon_is.origo.jira.tempo-plugin;18000
BSS-FWM-Client,CUS-4769,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/11/29 12:18,2023/11/30 16:57,2023/11/30 16:57,time-tracking;30/Nov/23 4:56 PM;addon_is.origo.jira.tempo-plugin;50400
Amend audits on  payment form ,CUS-4762,Development Subtask,To Do,DE Customer,61c9fde1f3037f006999e4d8,,2023/11/29 09:06,2023/11/29 09:06,,
Change Payment data to Payment Date,CUS-4746,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Fixed,2023/11/24 08:59,2023/11/24 10:28,2023/11/24 10:28,Removes spelling;24/Nov/23 10:28 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
"When choosing ""Read T&C's) we are directed to the page that has FAQ's",CUS-4744,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/11/24 08:53,2023/11/28 06:58,2023/11/28 06:58,;28/Nov/23 6:53 AM;ug:14c9f818-6f93-408b-92ef-3469668d10b4;60
PowerFlex Web UI Updates - Drop 1,CUS-4741,Maintenance Task,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/11/24 08:52,2023/11/28 09:20,2023/11/28 06:59,
[PWA] Send Free SMS,PAPP-3652,Story,Done,Project 1App,61d439af567cb70070cfc100,Done,2023/11/21 15:01,2024/05/07 07:25,2024/05/03 16:21,;03/May/24 4:21 PM;ug:20932542-b237-4eb6-8bf1-bdc76bf4ff7a;28800
Cart summary Tab,CUS-4597,Sub-task,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/11/10 08:58,2023/11/14 10:43,2023/11/14 10:43,;14/Nov/23 10:43 AM;ug:14c9f818-6f93-408b-92ef-3469668d10b4;60
Implement redirect on cancel click,CUS-4593,Sub-task,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/11/08 15:55,2023/11/10 10:46,2023/11/10 10:46,;10/Nov/23 10:45 AM;ug:14c9f818-6f93-408b-92ef-3469668d10b4;60
Deal Select,CUS-4503,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/10/27 11:18,2023/11/10 10:46,2023/11/10 10:46,;09/Nov/23 3:32 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;144000
[FE] 1App - Widget Mobile Upsell (Fibre only profile),PAPP-2804,Maintenance Task,Done,Project 1App,61d439af567cb70070cfc100,Done,2023/08/31 14:17,2024/03/25 15:38,2024/03/20 11:21,;15/Feb/24 9:08 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;18000
Landing page for prepaid user new Visit,CUS-3752,Sub-task,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/07/15 13:12,2023/07/20 23:28,2023/07/20 23:28,;20/Jul/23 11:27 PM;ug:14c9f818-6f93-408b-92ef-3469668d10b4;60
Development,CUS-3706,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/07/07 09:21,2023/07/07 10:28,2023/07/07 10:28,;07/Jul/23 10:27 AM;ug:14c9f818-6f93-408b-92ef-3469668d10b4;7200
Development,CUS-3688,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/07/06 12:12,2023/07/06 12:45,2023/07/06 12:45,;06/Jul/23 12:44 PM;ug:14dd5fb3-4dd8-4cf0-8693-d29538c127e5;3600
VAT Credit note screen,CUS-3653,Sub-task,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/06/26 07:54,2023/07/04 08:38,2023/07/04 08:38,;04/Jul/23 8:38 AM;ug:14c9f818-6f93-408b-92ef-3469668d10b4;3600
Replace domain-bills endpoints with stable ms-bills endpoints,CUS-3648,Sub-task,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/06/22 08:19,2023/07/02 19:52,2023/07/02 19:52,;02/Jul/23 7:51 PM;ug:14dd5fb3-4dd8-4cf0-8693-d29538c127e5;14400
Analytics Subtask,CUS-3610,Analytics Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Cancelled,2023/06/15 15:42,2023/07/04 08:00,2023/07/04 07:59,;04/Jul/23 7:58 AM;ug:14dd5fb3-4dd8-4cf0-8693-d29538c127e5;60
remove voucher validatation,CUS-3445,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/05/22 10:35,2024/06/18 12:55,2024/06/18 12:55,;18/Jun/24 12:55 PM;ug:0b71175d-e738-49cd-80ff-9819d43e62ae;57600
Creating Secrets for getDeviceSimDetails Endpoint,CUS-3240,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2023/04/03 09:37,2023/04/20 10:29,,
Prometheus Alerts for getDeviceSimDetails Endpoint,CUS-3239,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2023/04/03 09:37,2023/04/20 10:17,,time-tracking;17/Apr/23 3:31 PM;addon_is.origo.jira.tempo-plugin;7200
Zuul-routes for getDeviceSimDetails Endpoint,CUS-3238,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2023/04/03 09:37,2023/04/20 10:28,,
Business and Audit Events for getDeviceSimDetails Endpoint,CUS-3237,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2023/04/03 09:36,2023/04/15 21:21,,time-tracking;13/Apr/23 9:47 AM;addon_is.origo.jira.tempo-plugin;7200
Prometheus Alerts - Request OTP Endpoint,CUS-3226,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2023/04/03 08:57,2023/04/26 11:38,,time-tracking;26/Apr/23 11:38 AM;addon_is.origo.jira.tempo-plugin;3600
Create service for get Device And Sim Details,CUS-3088,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2023/03/14 12:23,2023/04/12 12:15,,time-tracking;11/Apr/23 9:15 AM;addon_is.origo.jira.tempo-plugin;28800
Improve unit tests and test coverage,CUS-2998,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2023/03/06 09:48,2023/03/13 21:17,,
 updating the vod-ms-core-auditing dependency DDU,CUS-2932,Sub-task,Done,DE Customer,61c9fde1f3037f006999e4d8,,2023/02/23 15:48,2023/05/15 11:32,,
Low Level Design,CUS-2830,Design Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2023/02/14 10:13,2023/07/24 07:12,2023/07/24 07:12,;24/Jul/23 7:12 AM;ug:14c9f818-6f93-408b-92ef-3469668d10b4;28800
Fix Emailing Service,CUS-2762,Sub-task,Done,DE Customer,61c9fde1f3037f006999e4d8,,2023/02/02 08:46,2023/03/02 10:20,,
Modify messaging service for large file,CUS-2673,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2023/01/24 15:29,2023/02/01 13:19,,
login as admin and view admin page after successful login,CVML-5390,Story,Done,CVM Loyalty,61c9fe0a7c6f980070df9cab,Done,2022/08/25 15:04,2022/09/29 15:07,2022/09/29 15:07,
'As a user I would like to enter msisdn and choose a campaign to retrieve information for,CVML-5365,Story,Done,CVM Loyalty,61c9fe0a7c6f980070df9cab,Done,2022/08/23 10:28,2022/08/30 10:29,2022/08/30 10:29,
Process Audit,CUS-1941,Governance Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2022/08/16 14:52,2022/08/17 10:41,,time-tracking;17/Aug/22 10:41 AM;addon_is.origo.jira.tempo-plugin;3600
Business Analysis,CUS-1938,Analysis Subtask,Not Applicable,DE Customer,61c9fde1f3037f006999e4d8,,2022/08/16 14:52,2022/08/17 10:09,,
Analytics,CUS-1935,Analytics Subtask,Not Applicable,DE Customer,61c9fde1f3037f006999e4d8,,2022/08/16 14:52,2022/08/17 10:08,,
Low Level Design,CUS-1933,Design Subtask,Not Applicable,DE Customer,61c9fde1f3037f006999e4d8,,2022/08/16 14:52,2022/08/17 10:07,,
Development Subtask,CUS-1930,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2022/08/16 14:52,2022/08/16 14:55,,
Process Audit,CUS-1923,Governance Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,,2022/08/16 13:04,2022/08/16 15:10,,time-tracking;16/Aug/22 3:09 PM;addon_is.origo.jira.tempo-plugin;7200
Functional Test Execution,CUS-1919,Testing Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2022/08/16 13:04,2022/08/17 10:42,2022/08/17 10:42,time-tracking;17/Aug/22 10:42 AM;addon_is.origo.jira.tempo-plugin;3600
