Summary,Issue key,Issue Type,Status,Project name,Project lead id,Resolution,Created,Updated,Resolved,Log Work
Learn Redis and Express session,TRT-1033,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/10/01 09:07,2020/10/05 21:18,2020/10/05 21:18,
pull request,TRT-1031,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/29 09:18,2021/01/25 09:06,2021/01/25 09:06,
store refresh token,TRT-1030,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/29 09:17,2020/10/13 09:14,2020/10/13 09:14,
Pull Request,TRT-1021,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/16 09:05,2021/05/03 09:37,2021/05/03 09:37,
Testing,TRT-1020,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/16 09:04,2021/05/03 09:37,2021/05/03 09:37,
learn and setup docker,TRT-1017,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/16 05:05,2020/09/29 09:17,2020/09/29 09:17,
pull request,TRT-1015,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/14 13:45,2020/09/21 09:09,2020/09/21 09:09,
Set cookie domain,TRT-1014,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/14 13:45,2020/09/18 08:40,2020/09/18 08:40,
Save token in a cookie,TRT-1013,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/14 13:45,2020/09/14 21:43,2020/09/14 21:43,
Refresh token,TRT-1000,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/08 04:54,2020/09/29 09:16,2020/09/29 09:16,
set token expiry date,TRT-999,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/08 04:53,2020/09/08 05:07,2020/09/08 05:07,
Token Management,TRT-998,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/08 04:49,2020/10/30 05:44,2020/10/30 05:44,
allow user to delete a screen,TRT-989,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/02 15:06,2020/09/02 15:06,2020/09/02 15:06,
pull request,TRT-988,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/02 15:05,2020/09/03 08:07,2020/09/03 08:07,
Delete screen,TRT-981,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/02 09:20,2020/09/03 08:07,2020/09/03 08:07,
Table component,TRT-973,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/08/26 13:27,2021/05/03 09:37,2021/05/03 09:37,
Pull request,TRT-954,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/07/22 23:34,2020/07/28 15:31,2020/07/28 15:31,
update frontend routes,TRT-953,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/07/22 13:31,2020/07/22 23:34,2020/07/22 23:34,
Render login page,TRT-952,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/07/22 13:22,2020/07/28 15:31,2020/07/28 15:31,
Bypass Vodacom login,TRT-951,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/07/21 23:38,2020/07/22 13:30,2020/07/22 13:30,
Pull request,TRT-939,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/07/09 16:40,2020/07/10 06:15,2020/07/10 06:15,
Local development Port,TRT-938,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/07/09 16:37,2020/07/10 06:15,2020/07/10 06:15,
Update CORS in AUTH service,TRT-937,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/07/09 16:20,2020/08/31 10:42,2020/08/31 10:42,
Test login from production,TRT-936,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/07/09 16:19,2020/08/31 10:42,2020/08/31 10:42,
CORS policy error,TRT-934,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/07/09 16:17,2020/09/08 09:24,2020/08/31 10:42,
Set status code to 401 for inavlid credentials,TRT-914,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/29 23:36,2020/07/01 15:33,2020/07/01 15:33,
Resolve merge conflicts,TRT-913,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/29 22:51,2020/07/01 08:27,2020/07/01 08:27,
Resolve merge conflicts,TRT-912,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/29 22:51,2020/07/01 08:27,2020/07/01 08:27,
Pull request for configMaps,TRT-903,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/17 06:20,2020/06/17 10:10,2020/06/17 10:10,
Setup configMaps for service,TRT-902,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/14 17:56,2020/06/17 06:19,2020/06/17 06:19,
Test if deployed auth service works,TRT-895,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/10 16:12,2020/06/29 09:30,2020/06/29 09:30,
Test Zuulroutes.,TRT-885,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/08 15:12,2020/07/01 15:33,2020/07/01 15:33,
Apply Zuulroutes on NodeJS Service.,TRT-884,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/08 15:12,2020/06/17 09:55,2020/06/17 09:55,
Pull Request for Zuulroutes.,TRT-883,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/08 15:11,2020/06/10 16:10,2020/06/10 16:10,
Create zuulroutes for different environments (DEV/QA/STAG/PROD),TRT-882,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/08 15:11,2020/06/10 10:28,2020/06/10 10:28,
Create Project in Bitbucket ,TRT-881,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/08 15:10,2020/06/09 08:29,2020/06/09 08:29,
Zuulroutes Auth Service,TRT-860,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/08 14:13,2020/07/01 15:33,2020/07/01 15:33,
Allow  logged in user to save their project,TRT-845,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/06/02 06:09,2020/06/02 09:05,2020/06/02 09:05,
Allow logged in user to retrieve all of his/her projects,TRT-841,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/28 16:28,2020/05/28 18:55,2020/05/28 18:55,
Pull request,TRT-840,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/28 14:10,2020/06/09 16:18,2020/06/09 16:18,
update account details on auth service,TRT-839,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/28 13:58,2020/06/06 22:39,2020/06/06 22:39,
Deploy Auth,TRT-838,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/28 13:42,2020/06/10 16:10,2020/06/10 16:10,
Allow logged in user to drag components on added screen,TRT-783,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/24 09:21,2020/05/29 15:51,2020/05/29 15:51,
Allow logged in user to delete Project,TRT-782,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/24 09:20,2020/05/29 05:58,2020/05/29 05:58,
Allow logged in user to duplicate screen,TRT-781,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/24 09:19,2020/06/02 05:38,2020/06/02 05:38,
Allow logged in user to  delete Screen,TRT-780,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/24 09:19,2020/05/29 09:22,2020/05/29 09:22,
Allow logged in user to add a screen,TRT-779,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/24 09:19,2020/05/29 08:55,2020/05/29 08:55,
Pull request,TRT-776,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/21 20:09,2020/07/09 16:16,2020/07/09 16:16,
Pull request,TRT-772,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/19 17:06,2020/07/09 16:16,2020/07/09 16:16,
Set start page on load as login screen,TRT-768,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/18 02:51,2020/05/18 05:42,2020/05/18 05:42,
ESlint errors,TRT-767,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/17 01:08,2020/05/17 03:39,2020/05/17 03:39,
clean code,TRT-766,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/15 04:48,2020/05/16 23:52,2020/05/16 23:52,
Pull request,TRT-750,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 20:08,2020/07/09 16:15,2020/07/09 16:15,
Test passport.js,TRT-749,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 20:04,2020/05/15 04:47,2020/05/15 04:47,
Test controller,TRT-748,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 20:04,2020/05/14 02:35,2020/05/14 02:35,
Unit Test,TRT-726,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 11:06,2020/05/19 18:34,2020/05/19 18:34,
Authenticate user if not logged in,TRT-725,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 11:04,2020/05/18 21:34,2020/05/18 21:34,
Add in login screen,TRT-724,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 11:03,2020/05/18 05:42,2020/05/18 05:42,
"On project creation, send project name & Username from JWT token.",TRT-723,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 11:03,2020/05/19 17:00,2020/05/19 17:00,
Redirect user to Tesseract landing page,TRT-722,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 11:03,2020/05/18 02:49,2020/05/18 02:49,
Store Token to local storage,TRT-721,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 11:02,2020/05/18 02:49,2020/05/18 02:49,
Call Auth Service EndPoint to get user token,TRT-720,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 11:01,2020/05/18 02:49,2020/05/18 02:49,
Retrieve project by userName,TRT-719,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 10:50,2020/05/27 20:06,2020/05/27 20:06,
Add userName to abstract layer,TRT-718,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 10:49,2020/05/21 19:59,2020/05/21 19:59,
Add username to project Model,TRT-717,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 10:49,2020/05/18 21:23,2020/05/18 21:23,
Unit Test,TRT-716,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 10:48,2020/06/04 09:23,2020/06/04 09:23,
Send new project model from frontend,TRT-715,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/11 10:47,2020/05/19 17:06,2020/05/19 17:06,
Authenticate user on ldap,TRT-700,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/05 14:30,2020/05/11 20:03,2020/05/07 20:40,
Generate user token when a user provides correct ldap credentials,TRT-699,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/05 14:29,2020/05/11 20:03,2020/05/07 22:57,
Clean code ,TRT-697,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/05/04 08:07,2020/05/11 20:03,2020/05/11 09:28,
Setup and test unit test framework,TRT-690,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/04/29 12:17,2020/05/13 02:43,2020/05/13 02:43,
Integrate Auth into Backend,TRT-689,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/04/29 12:16,2020/07/09 16:16,2020/07/09 16:16,
Integrating Auth into Frontend,TRT-688,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/04/29 12:16,2020/07/09 16:16,2020/07/09 16:16,
Learn how to use Swagger Security definitions,TRT-686,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/04/28 15:59,2020/05/11 20:03,2020/04/30 12:49,
generate user token using in memory storage,TRT-685,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/04/28 15:58,2020/05/11 20:03,2020/05/04 08:05,
Initialise Ldap using environment variables,TRT-656,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/04/14 16:23,2020/05/05 14:28,2020/05/05 14:28,
Deploy the Node Auth service,TRT-655,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/04/14 16:13,2020/07/09 16:15,2020/07/09 16:15,
Write MS unit test,TRT-615,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/04/02 10:24,2020/04/14 10:12,2020/04/14 10:12,
Learn how to do an MS unit test,TRT-614,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/04/02 10:23,2020/04/03 09:25,2020/04/03 09:25,
Setup and Learn the Node JS template,TRT-613,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/04/02 10:22,2020/05/17 01:07,2020/05/17 01:07,
Create Pull request,TRT-597,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/03/26 10:51,2020/04/14 15:40,2020/04/14 15:40,
Send username and project name using Canvas,TRT-595,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/03/25 09:35,2020/03/25 14:49,2020/03/25 14:49,
Send as request project name and username as an object,TRT-584,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/03/18 23:41,2020/03/25 09:33,2020/03/25 09:33,
Pull request for front-end,TRT-581,Sub-task,In Progress,Tesseract,61d439b0ce3652006ab7ce72,,2020/03/18 00:02,2020/04/14 10:15,,
Return user name with project name/id,TRT-571,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/03/17 12:21,2020/03/18 07:40,2020/03/18 07:40,
Add user names to projects,TRT-570,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/03/17 12:20,2020/03/18 00:02,2020/03/17 22:48,
Merge to Master,TRT-569,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/03/17 12:20,2020/04/14 10:15,2020/04/14 10:15,
Remove LDAP validation,TRT-568,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/03/17 12:20,2020/03/17 21:48,2020/03/17 21:48,
Login to Tesseract,TRT-567,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/03/17 12:20,2020/05/27 15:26,2020/05/27 15:26,
Code Repo ,TRT-565,Story,To Do,Tesseract,61d439b0ce3652006ab7ce72,,2020/03/16 12:48,2021/06/14 13:58,,
Presentation prep,TRT-550,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/03/12 08:36,2020/03/16 09:48,2020/03/16 09:48,
Unit test for login,TRT-541,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/03/02 21:29,2020/03/06 10:35,2020/03/06 10:35,
"Test login on Chrome, Firefox and Safari",TRT-522,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/02/25 08:09,2020/03/02 08:27,2020/03/02 08:27,
Set token key to be Tesseract specific,TRT-521,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/02/25 08:06,2020/02/25 08:08,2020/02/25 08:08,
Implement routing based on generated Token,TRT-517,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/02/24 08:52,2020/02/25 08:05,2020/02/25 08:05,
Connect updated login page styling to Node JS server,TRT-502,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/02/18 11:04,2020/03/02 15:29,2020/03/02 15:29,
Authorise user after authentication,TRT-501,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/02/18 11:03,2020/02/21 08:03,2020/02/21 08:03,
Research on cookies vs jwt,TRT-500,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/02/18 11:01,2020/02/20 08:07,2020/02/20 08:07,
Setup TAP ldap development certificate,TRT-499,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/02/18 11:00,2020/02/28 06:52,2020/02/28 06:52,
Code clean up,TRT-482,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/01/28 10:13,2020/03/03 14:49,2020/03/03 14:49,
Speak to William Reeler,TRT-469,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/01/24 09:20,2020/01/24 09:20,2020/01/24 09:20,
Create documentation on how ussd works,TRT-468,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/01/24 09:19,2020/02/11 15:21,2020/02/11 15:21,
Investigate USSD Integration. ,TRT-465,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/01/20 10:18,2020/02/03 10:28,2020/02/03 10:28,
Update Unit test information on confluence,TRT-463,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/01/15 21:10,2020/01/17 07:46,2020/01/17 07:46,
Unit Test for Canvas Property Dock,TRT-427,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/11/25 10:24,2020/01/14 10:27,2020/01/14 10:27,
Cater for different screen sizes,TRT-416,Task,To Do,Tesseract,61d439b0ce3652006ab7ce72,,2019/11/13 08:29,2021/08/23 14:02,,
Update login page styling,TRT-390,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/11/11 11:03,2020/03/03 09:04,2020/03/03 09:04,
Connect to LDAP to validate user,TRT-389,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/11/11 11:02,2020/03/03 14:23,2020/03/03 14:23,
Add Bootstrap to Tesseract,TRT-388,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/11/11 11:01,2019/11/11 15:56,2019/11/11 15:56,
Store generated token to allow user to access secure resources,TRT-387,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/11/11 10:57,2020/02/24 08:51,2020/02/24 08:51,
Testing,TRT-383,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/11/11 10:45,2020/01/15 09:10,2020/01/15 09:10,
Update styling on Login screen,TRT-374,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/11/06 15:36,2019/11/13 01:38,2019/11/13 01:38,
Property Dock - Preview,TRT-373,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/11/06 15:30,2020/01/20 10:08,2020/01/20 10:08,
Waiting for ARM Take-on Application to be approved,TRT-363,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/31 11:20,2019/11/05 10:48,2019/11/05 10:48,
User authentication,TRT-345,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/28 11:11,2022/05/24 03:20,2020/03/09 14:51,
Test,TRT-344,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/28 11:09,2019/11/13 08:26,2019/11/13 08:26,
Pull request,TRT-343,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/28 11:08,2020/03/09 14:51,2020/03/09 14:51,
React Login Screen,TRT-342,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/28 11:08,2019/11/06 15:35,2019/11/06 15:35,
White Pages access,TRT-341,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/28 11:07,2019/10/31 11:19,2019/10/31 11:19,
Create pull Request,TRT-336,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/28 00:41,2019/10/28 10:03,2019/10/28 10:03,
Learn how to use Active Directory,TRT-334,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/23 14:08,2019/11/11 10:53,2019/11/11 10:53,
Document how to use Enzyme and Jest on Confluence,TRT-332,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/23 09:13,2019/10/28 00:41,2019/10/28 00:41,
Speak to Krishin about Automation testing,TRT-324,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/22 06:18,2019/10/22 10:10,2019/10/22 10:10,
Create unit test,TRT-323,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/22 06:16,2019/10/28 00:41,2019/10/28 00:41,
Waiting for pull request to be approved 😎,TRT-304,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/15 16:16,2019/10/16 10:28,2019/10/16 10:28,
Change the value of the cancel and update based on what the child component is.,TRT-281,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/11 09:32,2019/10/15 16:08,2019/10/15 16:08,
Use Modal View for List Manager,TRT-280,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/11 08:45,2019/10/15 10:52,2019/10/15 10:52,
Document how to use component on confluence,TRT-279,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/05 02:25,2019/10/11 09:21,2019/10/11 09:21,
Clicking duplicate does not update the tree view in the web design view,TRT-268,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/03 13:10,2019/10/28 10:03,2019/10/28 10:03,
Speak to Greg about how to implement Modal View,TRT-262,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/10/03 09:29,2019/10/03 11:16,2019/10/03 11:12,
Pull request,TRT-254,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/30 10:37,2019/10/15 16:16,2019/10/15 16:16,
test design,TRT-253,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/30 10:37,2019/10/11 08:34,2019/10/11 08:34,
Do research on how to implement modal view,TRT-252,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/30 10:36,2019/10/04 10:17,2019/10/04 10:17,
Design generic modal,TRT-251,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/30 10:36,2019/10/05 01:47,2019/10/05 01:47,
Remove components does not update PropertySpace,TRT-240,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/30 10:17,2020/04/14 15:40,2020/04/14 15:40,
Create pull request,TRT-235,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/27 08:57,2019/10/04 10:09,2019/10/04 10:09,
Style list manager on canvas - Pop up modal,TRT-222,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/16 11:00,2019/09/27 08:57,2019/09/27 08:57,
Style list manager on canvas - List container,TRT-221,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/16 11:00,2019/09/27 08:57,2019/09/27 08:57,
Style drop down to match VSG,TRT-220,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/16 10:58,2019/09/27 08:57,2019/09/27 08:57,
Style list manager on canvas - Main Container,TRT-219,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/16 10:58,2019/09/27 08:56,2019/09/27 08:56,
New value in list manager pop up ,TRT-218,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/09/16 10:58,2019/09/27 08:56,2019/09/27 08:56,
Unit Test - SonarQube Integration,TRT-198,Task,To Do,Tesseract,61d439b0ce3652006ab7ce72,,2019/09/02 10:02,2020/08/26 11:38,,
Canvas - Create component manifest when artifact is generated,TRT-176,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/07/22 10:34,2019/08/05 10:06,2019/08/05 10:06,
Canvas - Add in margin and padding property on all components,TRT-168,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/07/22 10:20,2019/07/23 10:30,2019/07/23 10:05,
Component Styling - TextBox,TRT-142,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/06/26 10:33,2019/06/28 12:18,2019/06/28 12:18,
Component Styling - Label,TRT-141,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/06/24 10:26,2019/06/28 12:18,2019/06/28 12:18,
Fix warning when compiling project,TRT-140,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/06/24 10:25,2019/07/01 14:08,2019/07/01 14:08,
Restyling Tesseract/Canvas look and feel,TRT-139,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/06/24 10:22,2019/07/08 10:10,2019/07/08 10:10,
Component Styling - Button,TRT-133,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/06/24 10:16,2019/06/25 13:55,2019/06/25 13:55,
Modal View ,TRT-112,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/05/27 10:17,2019/10/16 10:28,2019/10/16 10:28,
"As a user, I would like to be able to hookup a static list to a dropdown box",TRT-18,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/04/10 16:55,2019/10/14 10:04,2019/10/04 10:09,
Capture a static list,TRT-13,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/04/10 16:50,2019/09/13 13:07,2019/09/13 13:07,
"As a user, I would like to re-use my credentials from an AD provider ",TRT-6,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2019/04/10 15:21,2020/02/04 09:11,2020/02/04 09:11,